"Price","PostedBy","UnCon","RERA","NoR","ToP","Size","RtM","RoN","Longitude","Latitude","NoS","NoP"
"220","Owner",0,0,2,"BHK","1170.212766",1,1,20.871212,72.992092,2,2
"208","Dealer",1,1,1,"BHK","533.7439056",0,1,24.69028,78.41889,1,0
"1100","Dealer",0,1,3,"BHK","1576.157043",1,1,12.896796,77.5724,1,3
"295","Dealer",0,1,2,"BHK","947.6389335",1,1,26.900926,75.775927,1,2
"2000","Dealer",0,0,3,"BHK","1764.913519",1,1,30.688668,76.847349,2,2
"262","Dealer",1,1,3,"BHK","643.4184676",0,1,28.365512,77.346306,1,3
"1200","Dealer",0,0,2,"BHK","1293.103448",1,1,22.491565,88.402473,2,2
"500","Dealer",0,0,1,"BHK","650.026001",1,1,19.245347,73.124577,2,1
"2300","Dealer",0,0,3,"BHK","1169.769098",1,1,18.96,72.82,3,2
"3000","Dealer",0,0,4,"BHK","3165.224731",1,1,28.552626,77.333948,4,3
"1700","Dealer",0,0,3,"BHK","1703.919014",1,1,22.55,88.3833,3,2
"760","Dealer",0,0,2,"BHK","950",1,1,19.283359,72.864964,1,2
"360","Builder",0,0,2,"BHK","1008.120975",1,0,20.100361,79.103607,0,2
"5000","Dealer",0,0,4,"BHK","4536.793394",1,1,18.49667,73.94167,6,4
"760","Owner",0,0,3,"BHK","1296.043656",1,1,13.063752,77.605027,1,2
"119","Owner",0,1,1,"BHK","506.3829787",1,1,19.6394,72.7256,1,0
"285","Owner",0,0,2,"BHK","950",1,1,22.360655,73.168216,0,1
"600","Dealer",0,0,1,"BHK","600",1,1,19.000869,73.118903,5,1
"850","Dealer",0,0,2,"BHK","1140.021459",1,1,28.582887,77.339935,1,1
"231","Dealer",0,0,2,"BHK","982.9787234",1,1,23.692053,86.944846,1,2
"850","Dealer",0,0,2,"BHK","1200.056473",1,1,28.651287,77.347732,2,1
"1600","Dealer",0,0,3,"BHK","2059.997425",1,1,26.8923,75.8163,3,3
"440","Dealer",0,0,3,"BHK","1625.415589",1,1,22.75,77.72,1,3
"754","Dealer",0,0,3,"BHK","1885",1,1,17.776084,83.366665,2,3
"160","Dealer",0,0,1,"BHK","344.4564047",1,1,28.594716,77.375984,0,1
"210","Owner",0,0,2,"BHK","1200",1,1,22.77722,73.62028,2,1
"570","Dealer",0,1,3,"BHK","1294.86597",1,1,28.506454,77.409568,2,2
"430","Dealer",1,1,2,"BHK","830.1158301",0,1,18.658033,73.720121,4,2
"560","Dealer",0,0,2,"BHK","850.0303582",1,1,22.54111,88.33778,1,1
"600","Dealer",0,0,2,"BHK","1200",1,1,24.69028,78.41889,2,1
"415","Dealer",0,1,3,"BHK","1330.128205",1,1,26.900926,75.775927,2,3
"3500","Dealer",0,1,3,"BHK","2393.162393",1,1,12.9847,77.5491,4,2
"320","Owner",0,0,2,"BHK","860.2150538",1,1,20.93333,77.75,1,1
"915","Dealer",1,1,2,"BHK","10541.47465",0,1,24.69028,78.41889,2,2
"520","Owner",0,0,3,"BHK","1309.823678",1,1,29.952024,76.898709,4,2
"2400","Dealer",0,0,4,"BHK","4100.461302",1,1,28.518116,77.394085,2,3
"1300","Dealer",1,1,2,"BHK","650",0,1,19.1759,72.9522,3,1
"390","Owner",0,0,4,"BHK","1510.45701",1,1,22.271018,73.154216,0,3
"1400","Owner",0,0,3,"BHK","1560.062402",1,1,30.719387,76.801688,2,3
"1000","Dealer",1,0,2,"BHK","1051.082615",0,1,18.097689,74.735239,3,2
"400","Owner",0,0,2,"BHK","1200.120012",1,1,12.864738,77.547489,1,1
"1600","Dealer",0,0,3,"BHK","1739.130435",1,1,21,77,2,2
"1700","Dealer",1,1,2,"BHK","649.4498778",0,1,19.1955,72.8728,4,1
"750","Owner",0,0,3,"BHK","1300.052002",1,1,12.894088,77.548914,1,3
"320","Owner",0,0,2,"BHK","1000",1,1,23.25,77.41667,0,1
"1200","Owner",0,0,3,"BHK","2880.460874",1,1,17.485275,78.491862,4,3
"3900","Dealer",0,0,4,"BHK","3000",1,1,28.440728,77.114195,5,3
"330","Owner",0,0,2,"BHK","1050.286442",1,1,14.412591,79.960366,1,2
"1500","Owner",0,1,3,"BHK","1894.178558",1,1,13.010349,77.712151,2,3
"385","Builder",1,1,2,"BHK","1069.444444",0,0,12.8706,77.6279,2,2
"950","Dealer",0,0,2,"BHK","1050.071847",1,1,22.575343,88.433715,3,2
"535","Builder",0,1,1,"BHK","714.1903618",1,0,15.62,73.767,2,0
"662","Dealer",0,0,3,"BHK","1249.056604",1,1,12.96991,77.59796,1,3
"190","Dealer",0,0,2,"BHK","1049.723757",1,1,26.9883,75.5846,1,2
"2800","Dealer",0,0,3,"BHK","1500.053573",1,1,24.69028,78.41889,4,3
"1000","Dealer",0,0,3,"BHK","1532.56705",1,1,12.9407,77.7466,2,2
"420","Dealer",1,1,3,"BHK","899.9357189",0,1,28.25,77.07,1,3
"950","Dealer",0,0,2,"BHK","1359.084406",1,1,12.880475,75.022346,1,1
"1000","Dealer",0,1,3,"BHK","1523.925632",1,1,18.5993,73.7625,2,3
"835","Builder",1,1,2,"BHK","1215.075669",0,0,28.47944,76.971432,3,1
"130","Owner",0,0,1,"BHK","635.0757206",1,1,22.680741,75.832009,0,1
"530","Owner",0,0,2,"BHK","1140.030114",1,1,50.817397,4.42145,2,1
"272","Owner",0,0,2,"BHK","1006.289308",1,1,22.328394,73.176639,0,2
"125","Owner",0,0,1,"BHK","375.0375038",1,1,12.8854,80.022,1,1
"550","Owner",0,0,2,"BHK","1030.15546",1,1,10.159679,76.38519,2,1
"1200","Dealer",0,0,2,"BHK","1200.960769",1,1,19.040416,73.078151,2,1
"450","Dealer",0,0,2,"BHK","849.0566038",1,1,12.90579,77.54264,1,2
"500","Owner",0,1,2,"BHK","922.8497601",1,1,18.49667,73.94167,0,2
"2000","Owner",0,0,1,"BHK","398.0099502",1,1,12.858602,77.679339,4,1
"1200","Dealer",0,0,2,"BHK","556.8187091",1,1,19.256471,72.868815,3,2
"1200","Dealer",0,0,2,"BHK","1440.057602",1,1,19.048979,73.078232,2,2
"250","Owner",0,0,2,"BHK","1110.617503",1,1,28.162032,76.811066,0,1
"270","Owner",1,0,2,"BHK","965.3199857",0,1,30.976411,76.518977,1,2
"260","Owner",0,0,2,"BHK","745.1991975",1,1,11.081061,76.94433,1,2
"420","Owner",0,0,2,"BHK","899.9357189",1,1,16.180529,75.697946,0,1
"400","Dealer",0,0,1,"BHK","615.0061501",1,1,20.042481,74.473635,1,0
"530","Owner",0,0,2,"BHK","950.1613482",1,1,23.83333,91.26667,1,2
"539","Dealer",0,0,2,"BHK","1110.195675",1,1,28.5216,77.3863,3,2
"200","Dealer",0,0,2,"BHK","655.0933508",1,1,22.140267,88.403089,0,1
"870","Dealer",0,0,3,"BHK","2257.394914",1,1,28.394375,77.357227,3,3
"950","Owner",0,0,2,"BHK","1505.069708",1,1,28.691959,76.937293,3,1
"5300","Dealer",0,1,4,"BHK","2758.836083",1,1,18.96667,72.83333,5,3
"1800","Dealer",0,0,4,"BHK","3361.972357",1,1,12.86,77.786,2,3
"1000","Dealer",1,1,2,"BHK","1527.183873",0,1,12.915026,77.668562,1,1
"2500","Dealer",0,1,3,"BHK","2548.939641",1,1,26.86056,80.91583,4,2
"540","Dealer",0,0,1,"BHK","537.0462456",1,1,18.5101,73.8141,2,1
"290","Owner",0,0,2,"BHK","1100.151745",1,1,10.77917,76.65472,1,2
"450","Owner",0,0,2,"BHK","981.0333551",1,1,18.966748,75.306387,0,2
"880","Owner",0,0,2,"BHK","1957.730812",1,1,11,76.96667,3,2
"1000","Dealer",1,0,3,"BHK","1350.074254",0,1,18.5993,73.7625,3,3
"375","Dealer",1,0,1,"BHK","625",0,1,28.3967,77.32331,2,0
"1300","Dealer",1,1,1,"BHK","350.0834814",0,0,19.124896,72.893503,2,0
"780","Dealer",0,1,3,"BHK","2758.132956",1,1,21.17,72.83,2,3
"210","Owner",1,0,1,"BHK","625",0,1,19.7,72.77,2,0
"969","Dealer",0,0,2,"BHK","909.1762057",1,1,19.239813,72.962722,1,1
"362","Dealer",0,0,1,"BHK","604.3405676",1,0,13.03478,80.15586,1,0
"260","Dealer",0,0,1,"BHK",NA,1,1,18.966114,73.148278,0,0
"470","Dealer",0,0,3,"BHK","1265.141319",1,1,28.506454,77.409568,0,2
"720","Owner",0,0,2,"BHK","1250",1,1,12.97045,77.712284,1,1
"850","Owner",0,0,2,"BHK","1057.082452",1,1,18.556218,73.811303,1,2
"465","Dealer",0,0,3,"BHK","1460.427136",1,1,30.662283,76.822397,0,3
"1500","Owner",0,0,3,"BHK","1796.407186",1,1,12.972015,77.563021,2,2
"500","Dealer",0,0,2,"BHK","1339.046599",1,1,28.431862,77.351104,2,1
"10500","Dealer",0,0,4,"BHK","3500",1,1,19.01798,72.84476,10,4
"420","Dealer",1,1,2,"BHK","1259.74805",0,1,28.431862,77.351104,0,1
"700","Dealer",0,0,3,"BHK","1802.265705",1,1,28.41667,77.3,1,2
"360","Owner",0,0,3,"BHK","1500",1,1,28.686091,77.334644,0,3
"600","Owner",1,1,2,"BHK","1150.086256",0,1,12.9381,77.7042,6,2
"182","Dealer",0,1,1,"BHK","686.7924528",1,1,27.04965,80.851214,0,0
"420","Dealer",0,0,2,"BHK","1200",1,1,22.30287,73.158703,2,2
"530","Dealer",0,1,2,"BHK","1410.324641",1,1,21,77,1,1
"570","Owner",0,0,2,"BHK","1100.173712",1,1,12.96991,77.59796,3,1
"4200","Dealer",1,1,3,"BHK","2465.656921",0,1,18.96667,72.83333,7,3
"5200","Dealer",0,1,5,"BHK","3096.528315",1,1,28.5679,77.3679,6,4
"250","Owner",0,0,2,"BHK","612.1449559",1,1,12.78333,80.18333,1,1
"2100","Dealer",0,0,3,"BHK","2400",1,1,13.04034,77.591347,4,3
"1900","Dealer",0,1,3,"BHK","2172.173317",1,1,12.8855,77.5638,3,2
"1200","Dealer",0,0,2,"BHK","550.0045834",1,1,18.914541,72.818211,2,2
"800","Dealer",0,0,2,"BHK","2000",1,1,30.706256,75.700134,1,2
"410","Owner",0,1,4,"BHK","2123.252201",1,1,23.185756,77.498465,1,4
"1100","Dealer",0,1,2,"BHK","1265.094882",1,1,30.725549,76.755804,2,1
"820","Dealer",0,0,3,"BHK","1584.847313",1,1,12.91716,80.19287,1,2
"4700","Dealer",0,0,3,"BHK","1484.241774",1,1,19.103831,72.837361,6,3
"430","Owner",0,0,2,"BHK","1050.06105",1,1,26.472739,80.27631,2,2
"420","Owner",0,0,3,"BHK","1442.307692",1,1,20.29613,85.741152,1,3
"580","Owner",0,1,3,"BHK","1485.275288",1,1,28.576117,77.382136,3,2
"1000","Dealer",0,0,3,"BHK","1499.925004",1,1,22.54111,88.33778,2,2
"180","Owner",0,0,2,"BHK","650.0541712",1,1,21.764509,72.147586,0,2
"2600","Builder",1,1,3,"BHK","931.3988895",0,0,19.137628,72.824162,4,2
"590","Owner",0,0,3,"BHK","1324.949472",1,1,13.09,80.27,2,3
"890","Dealer",0,0,2,"BHK","1050.023596",1,1,18.49667,73.94167,3,1
"550","Owner",0,1,2,"BHK","1035.001882",1,1,28.576117,77.382136,2,1
"685","Dealer",1,1,2,"BHK","989.8843931",0,1,18.973908,73.025106,1,2
"350","Owner",0,0,3,"BHK","1000",1,1,22.077054,79.553859,2,2
"1500","Dealer",0,0,4,"BHK","2429.149798",1,1,22.54111,88.33778,2,3
"111","Owner",0,0,2,"BHK","849.2731446",1,1,26.900115,75.77761,1,2
"1000","Owner",0,0,3,"BHK","1818.181818",1,1,12.96991,77.59796,2,2
"210","Owner",0,0,2,"BHK","840",1,1,27.182124,77.969927,2,2
"280","Owner",0,0,2,"BHK","940.2283412",1,1,23.25,77.41667,1,2
"850","Dealer",0,0,3,"BHK","1199.887069",1,1,19.245347,73.124577,1,2
"280","Dealer",0,0,2,"BHK","1050.262566",1,1,26.8626,75.7633,4,2
"770","Dealer",0,1,2,"BHK","1160.162724",1,1,18.5993,73.7625,2,1
"320","Owner",0,1,2,"BHK","1224.177506",1,1,58.69175268,-117.0016994,1,1
"770","Dealer",0,0,4,"BHK","2699.859748",1,1,28.404684,77.287122,3,3
"600","Dealer",0,0,3,"BHK","1415.09434",1,1,26.8626,75.7633,2,3
"810","Dealer",1,0,2,"BHK","506.0286125",0,1,19.218498,72.992114,2,1
"400","Owner",0,0,2,"BHK","1001.001001",1,1,12.858535,77.590438,1,2
"300","Owner",0,0,2,"BHK","650.0541712",1,1,28.588021,77.391359,0,2
"1100","Dealer",0,0,2,"BHK","1160.092807",1,1,19.033956,73.075342,2,1
"320","Dealer",1,0,1,"BHK","600.0375023",0,1,24.69028,78.41889,1,0
"920","Dealer",1,0,2,"BHK","1150",0,1,22.506447,88.363636,3,2
"240","Owner",0,0,3,"BHK","1000",1,1,28.2102,76.8606,1,2
"240","Owner",0,0,2,"BHK","929.8721426",1,1,22.4426,88.4304,0,2
"2000","Dealer",0,0,4,"BHK","2199.978",1,1,22.510258,88.355227,2,4
"339","Dealer",0,0,3,"BHK","1125.124461",1,1,30.768683,76.650876,2,2
"520","Owner",0,0,2,"BHK","1209.021158",1,1,17.883963,77.510233,1,1
"1200","Owner",0,0,3,"BHK","1626.457034",1,1,12.986987,77.736436,3,2
"230","Dealer",0,1,2,"BHK","474.0313273",1,1,28.394375,77.357227,1,1
"150","Owner",0,0,1,"BHK","400",1,1,28.66667,77.41667,0,1
"890","Dealer",0,1,3,"BHK","1340.159615",1,1,18.49667,73.94167,1,3
"730","Dealer",0,0,3,"BHK","1311.769991",1,1,13.025845,77.770331,1,3
"671","Dealer",1,1,3,"BHK","1369.387755",0,1,28.493232,77.434566,1,3
"160","Owner",0,0,2,"BHK","685.2248394",1,1,19.700808,72.755547,0,1
"1400","Dealer",1,1,3,"BHK","1593.262775",0,1,19.038205,73.06612,1,3
"375","Dealer",1,1,1,"BHK","659.9788807",0,1,18.637802,73.745912,0,0
"900","Owner",0,0,3,"BHK","1400.124456",1,1,12.778033,77.632191,1,3
"2100","Dealer",0,0,3,"BHK","1367.989056",1,1,24.69028,78.41889,3,2
"430","Owner",0,1,2,"BHK","1098.059244",1,1,22.473819,70.05781,2,1
"480","Dealer",0,0,3,"BHK","1850.424056",1,1,28.2102,76.8606,1,2
"475","Owner",0,1,3,"BHK","1358.30712",1,1,26.781748,81.006714,2,3
"530","Dealer",0,1,2,"BHK","950.1613482",1,1,28.527597,77.389374,3,2
"72","Owner",0,0,1,"BHK","649.2335437",1,1,21.232813,72.832454,0,0
"169","Dealer",0,0,2,"BHK","866.6666667",1,1,23.6667,86.9333,3,2
"850","Dealer",0,0,4,"BHK","2200.362413",1,1,22.271214,73.188827,1,3
"1500","Dealer",0,0,3,"BHK","2012.882448",1,1,22.54111,88.33778,2,2
"1500","Dealer",1,0,2,"BHK","1009.625093",0,1,19.255098,72.9815265,2,1
"400","Owner",0,0,2,"BHK","899.8875141",1,1,12.837169,77.728569,3,2
"1600","Dealer",0,0,2,"BHK","888.8888889",1,1,18.96,72.82,3,2
"250","Dealer",0,0,3,"BHK","1550.868486",1,1,26.832353,75.841749,1,2
"1600","Dealer",1,1,2,"BHK","1365.42072",0,1,19.1145,72.8712,3,1
"740","Owner",0,1,3,"BHK","1600",1,1,50.817397,4.42145,2,3
"950","Owner",1,1,3,"BHK","1934.826884",0,1,28.536585,77.383669,3,2
"627","Dealer",1,1,3,"BHK","1844.117647",0,1,22.175748,75.582163,2,2
"330","Owner",0,0,2,"BHK","1260.02291",1,1,13.0915,74.7844,0,2
"390","Owner",0,0,2,"BHK","950.0609013",1,1,12.261327,76.644706,0,2
"440","Owner",0,1,2,"BHK","890.1476836",1,1,28.506454,77.409568,2,1
"350","Owner",1,0,3,"BHK","1022.494888",0,1,28.667313,77.466723,1,2
"420","Builder",1,1,1,"BHK","495.2830189",0,0,18.651598,73.735448,1,1
"255","Owner",0,0,1,"BHK","700.1647446",1,1,21.232813,72.832454,0,1
"1300","Dealer",0,0,3,"BHK","1783.509398",1,1,13.019578,77.017574,3,2
"650","Owner",0,0,3,"BHK","1435.195407",1,1,30.33,78.06,1,3
"1500","Dealer",0,0,3,"BHK","1012.282359",1,1,24.69028,78.41889,4,2
"398","Dealer",1,0,3,"BHK","1089.813801",0,1,26.154874,91.670312,1,3
"1200","Owner",0,0,2,"BHK","1390.176089",1,1,13.09,80.27,3,1
"7800","Dealer",0,0,5,"BHK","5284.194838",1,1,28.440728,77.114195,8,5
"1300","Owner",0,0,3,"BHK","2296.819788",1,1,13.1195,77.5837,2,3
"695","Owner",0,0,2,"BHK","1359.81217",1,1,12.9847,77.5491,1,2
"125","Dealer",0,0,1,"BHK","449.6402878",1,1,28.686091,77.334644,1,0
"682","Dealer",0,1,3,"BHK","2298.618133",1,1,30.594843,76.84983,1,3
"385","Owner",0,0,2,"BHK","1100",1,1,16.531879,80.670951,3,1
"277","Owner",0,1,3,"BHK","940.5772496",1,1,19.199087,73.238998,2,2
"486","Owner",1,0,2,"BHK","1162.401339",0,1,15.40194,74.04333,0,1
"320","Owner",0,0,2,"BHK","1250",1,1,22.280279,70.787991,0,2
"512","Dealer",1,1,3,"BHK","1349.854996",0,1,28.595305,77.347365,3,2
"235","Owner",0,0,4,"BHK","45.00019149",1,1,26.4725,80.33111,1,4
"85","Owner",0,1,1,"BHK","420.5838694",1,1,26.955878,81.107692,0,1
"2400","Dealer",0,0,3,"BHK","1850.13876",1,1,18.506,73.8319,2,2
"1200","Dealer",1,1,2,"BHK","671.0283509",0,1,18.142544,75.10617,2,1
"900","Dealer",0,0,2,"BHK","1309.090909",1,1,12.9077,77.6755,3,1
"1100","Owner",0,0,4,"BHK","1849.672104",1,1,28.552626,77.333948,2,4
"400","Owner",0,0,2,"BHK","887.1146596",1,1,28.66667,77.41667,1,1
"900","Dealer",0,0,3,"BHK","1757.126123",1,1,22.5922,88.484911,1,2
"930","Dealer",1,1,4,"BHK","2300.272075",0,1,30.73528,76.79111,2,3
"181","Dealer",0,0,2,"BHK","979.9675149",1,1,26.8626,75.7633,0,2
"429","Dealer",0,0,2,"BHK","1245.283019",1,1,28.406388,77.342588,0,1
"2700","Dealer",0,0,3,"BHK","2356.432187",1,1,18.558319,73.77588,3,3
"1000","Dealer",1,1,1,"BHK","651.465798",0,1,24.69028,78.41889,2,1
"1300","Dealer",0,0,3,"BHK","2010.516548",1,1,12.9255,77.6765,2,3
"800","Dealer",0,0,3,"BHK","1514.004542",1,1,12.9255,77.6765,2,3
"560","Dealer",0,1,3,"BHK","1654.846336",1,1,22.1764,75.8193,2,2
"950","Dealer",0,1,1,"BHK","750.0394758",1,1,19.1849,72.8347,4,1
"700","Dealer",1,1,3,"BHK","1665.080875",0,1,30.662283,76.822397,1,2
"725","Dealer",1,0,3,"BHK","1505.086153",0,1,17.45,78.5,2,2
"310","Owner",0,0,2,"BHK","1265.822785",1,1,19.88,74.48,0,2
"750","Owner",0,1,4,"BHK","1799.856012",1,1,30.706256,75.700134,2,3
"1100","Dealer",0,0,2,"BHK","1194.353963",1,1,19.216097,72.821721,1,1
"1300","Dealer",1,1,3,"BHK","899.405009",0,1,24.69028,78.41889,2,3
"1100","Owner",1,1,3,"BHK","1614.086574",0,1,12.8706,77.6279,1,3
"45","Dealer",0,1,1,"BHK","225.5639098",1,0,26.707154,80.982346,1,1
"4300","Owner",0,0,3,"BHK","3520.261973",1,1,13.04034,77.591347,7,3
"400","Owner",0,0,2,"BHK","1100.110011",1,1,12.986987,77.736436,2,2
"550","Dealer",0,1,2,"BHK","1385.041551",1,1,30.662283,76.822397,2,1
"1800","Dealer",0,1,2,"BHK","742.482366",1,1,19.235,72.8598,5,1
"490","Owner",0,0,2,"BHK","1150.234742",1,1,18.558646,73.896074,2,1
"430","Dealer",0,1,2,"BHK","1320.233344",1,1,26.900926,75.775927,1,1
"670","Dealer",0,0,3,"BHK","1770.14531",1,0,26.91868,75.750399,2,2
"650","Owner",0,0,2,"BHK","1190.040278",1,1,13.0318,77.6583,1,2
"600","Owner",0,0,2,"BHK","1190.003967",1,1,12.9958935,77.761394,2,1
"900","Dealer",0,0,3,"BHK","1490.066225",1,1,13.141581,77.749756,1,3
"970","Owner",0,1,4,"BHK","2375.122429",1,1,28.506454,77.409568,2,4
"460","Dealer",0,0,2,"BHK","1250",1,1,28.431862,77.351104,0,1
"210","Owner",0,0,2,"BHK","850.2024291",1,1,28.21,76.87,3,2
"265","Owner",0,0,2,"BHK","984.7640282",1,1,22.756329,75.863062,2,2
"420","Owner",0,1,2,"BHK","1287.948482",1,1,21.17,72.83,2,2
"750","Dealer",0,0,2,"BHK","1040.077659",1,1,18.558319,73.77588,2,2
"1200","Dealer",1,1,3,"BHK","1595.320394",0,1,12.9958935,77.761394,1,2
"310","Dealer",0,1,1,"BHK","353.0349618",1,1,24.862517,78.282467,1,0
